"--- Project Logs ---"
"Edited By","Created By","Archived At","Created At","Project Name",Status,Priority,"Due Date",Description
fizananjum5,tougereddesign,"2025-04-03 13:14:27","2025-04-02 16:05:06","Project One","In Progress",Moderate,2025-04-24,"Example Project"
tougereddesign,tougereddesign,"2025-04-02 16:06:56","2025-04-02 16:05:06","Project One",New,Low,2025-04-24,"Example Project"

"--- Task Logs ---"
"Edited By","Archived At","Created At",Subject,Status,Priority,"Due Date",Description
fizananjum5,"2025-04-03 13:12:56","2025-04-03 13:12:17","Example Task",New,Urgent,Example
tougereddesign,"2025-04-02 19:46:09","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:41:19","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:41:09","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:40:36","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:40:21","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:38:00","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:37:48","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:37:32","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:35:50","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:35:30","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:34:23","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:33:10","2025-04-02 16:07:35","Example Task One","In Progress",Moderate,"Example Task"
tougereddesign,"2025-04-02 19:32:44","2025-04-02 16:07:35","Example Task One","In Progress",Moderate,"Example Task"
tougereddesign,"2025-04-02 19:31:45","2025-04-02 16:07:35","Example Task One","In Progress",Urgent,"Example Task"
tougereddesign,"2025-04-02 19:27:21","2025-04-02 16:07:35","Example Task One","In Progress",Moderate,"Example Task"
tougereddesign,"2025-04-02 19:24:29","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 19:23:49","2025-04-02 16:07:35","Example Task One","In Progress",Moderate,"Example Task"
tougereddesign,"2025-04-02 19:12:06","2025-04-02 16:07:35","Example Task One","In Progress",Low,"Example Task"
tougereddesign,"2025-04-02 18:15:59","2025-04-02 16:39:04","Example Task Three",New,Urgent,"Example Task Three"
tougereddesign,"2025-04-02 18:15:44","2025-04-02 16:37:13","Example Task Two",Complete,Moderate,"Example Task Two"
tougereddesign,"2025-04-02 16:37:51","2025-04-02 16:37:13","Example Task Two","In Progress",Low,"Example Task Two"
tougereddesign,"2025-04-02 16:37:27","2025-04-02 16:37:13","Example Task Two",New,Low,"Example Task Two"
tougereddesign,"2025-04-02 16:09:08","2025-04-02 16:07:35","Example Task",New,Moderate,"Example Task"
